"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"04/01/2024 01:45 - 04/01/2024 02:00","BZN|BE","8010.10","8274.41"
"04/01/2024 02:00 - 04/01/2024 02:15","BZN|BE","7933.02","8247.06"
"04/01/2024 02:15 - 04/01/2024 02:30","BZN|BE","7752.21","8172.06"
"04/01/2024 02:30 - 04/01/2024 02:45","BZN|BE","7712.87","8118.17"
"04/01/2024 02:45 - 04/01/2024 03:00","BZN|BE","7753.19","8068.73"
"04/01/2024 03:00 - 04/01/2024 03:15","BZN|BE","7665.68","8044.76"
"04/01/2024 03:15 - 04/01/2024 03:30","BZN|BE","7773.46","8015.88"
"04/01/2024 03:30 - 04/01/2024 03:45","BZN|BE","7735.16","7985.70"
"04/01/2024 03:45 - 04/01/2024 04:00","BZN|BE","7761.59","7980.01"
"04/01/2024 04:00 - 04/01/2024 04:15","BZN|BE","7790.75","8031.90"
"04/01/2024 04:15 - 04/01/2024 04:30","BZN|BE","7833.32","8060.71"
"04/01/2024 04:30 - 04/01/2024 04:45","BZN|BE","7772.44","8076.93"
"04/01/2024 04:45 - 04/01/2024 05:00","BZN|BE","7781.77","8123.42"
"04/01/2024 05:00 - 04/01/2024 05:15","BZN|BE","7939.65","8240.40"
"04/01/2024 05:15 - 04/01/2024 05:30","BZN|BE","8066.76","8322.65"
"04/01/2024 05:30 - 04/01/2024 05:45","BZN|BE","8143.22","8414.20"
"04/01/2024 05:45 - 04/01/2024 06:00","BZN|BE","8156.12","8571.63"
"04/01/2024 06:00 - 04/01/2024 06:15","BZN|BE","8375.11","8758.80"
"04/01/2024 06:15 - 04/01/2024 06:30","BZN|BE","8567.94","8952.08"
"04/01/2024 06:30 - 04/01/2024 06:45","BZN|BE","8817.52","9152.82"
"04/01/2024 06:45 - 04/01/2024 07:00","BZN|BE","9130.11","9362.00"
"04/01/2024 07:00 - 04/01/2024 07:15","BZN|BE","9367.91","9437.17"
